Cat	Sum	Count
1	528	104
2	526	101
3	458	90
4	580	107
5	482	94
6	527	106
7	478	99
8	497	107
9	489	101
10	520	99
11	573	111
12	490	100
13	533	110
14	548	106
15	576	117
16	477	94
17	572	120
18	438	85
19	416	81
20	592	120
21	611	113
22	527	103
23	515	105
24	583	108
25	496	95
26	434	86
27	551	105
28	551	110
29	486	95
30	511	102
31	433	86
32	534	115
33	493	92
34	480	91
35	430	102
36	546	112
37	579	108
38	382	82
39	545	111
40	424	86
41	576	113
42	483	97
43	473	95
44	388	83
45	577	107
46	464	93
47	561	111
48	473	92
49	413	85
50	384	80
51	482	97
52	405	83
53	590	118
54	577	109
55	478	102
56	513	111
57	491	100
58	440	83
59	542	106
60	533	106
61	435	85
62	475	91
63	494	100
64	583	114
65	524	98
66	448	87
67	494	95
68	535	103
69	496	99
70	505	95
71	466	92
72	439	94
73	485	109
74	524	106
75	610	112
76	516	106
77	465	94
78	513	102
79	544	109
80	477	91
81	423	84
82	542	105
83	541	98
84	487	100
85	575	109
86	460	95
87	536	107
88	549	105
89	528	109
90	511	100
91	480	97
92	388	80
93	501	96
94	487	97
95	495	102
96	454	96
97	603	111
98	452	99
99	470	86
100	613	112
